epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1498.48,0.25397,0.11947,0.66423,0.97302,0.98763,0.98521,0.92778,0.2032,0.10946,0.65275,0.000452468,0.000452468,0.000452468
94,1514.43,0.23847,0.11377,0.66584,0.97518,0.98846,0.98478,0.92355,0.21751,0.11085,0.65416,0.000439266,0.000439266,0.000439266
95,1530.54,0.2635,0.12239,0.66585,0.97148,0.98628,0.98675,0.92917,0.21238,0.10843,0.65485,0.000426065,0.000426065,0.000426065
96,1546.69,0.24646,0.11285,0.66477,0.97134,0.9867,0.98489,0.92535,0.20517,0.11114,0.65353,0.000412863,0.000412863,0.000412863
97,1563.03,0.28969,0.13103,0.66949,0.97332,0.9849,0.9889,0.92876,0.21134,0.10745,0.65591,0.000399662,0.000399662,0.000399662
98,1579.53,0.27687,0.12801,0.66176,0.97093,0.98117,0.98166,0.92604,0.2054,0.1123,0.65194,0.00038646,0.00038646,0.00038646
99,1595.64,0.26042,0.11974,0.66858,0.98052,0.98508,0.98981,0.9298,0.21588,0.10956,0.65604,0.000373259,0.000373259,0.000373259
100,1612.14,0.2668,0.1217,0.66699,0.97289,0.98773,0.98554,0.92857,0.21035,0.10866,0.65487,0.000360057,0.000360057,0.000360057
101,1628.16,0.23647,0.11408,0.6654,0.97521,0.98718,0.98754,0.93042,0.20069,0.10627,0.65323,0.000346856,0.000346856,0.000346856
102,1644.23,0.25952,0.11838,0.66802,0.97578,0.98415,0.98848,0.93092,0.20658,0.10917,0.65261,0.000333655,0.000333655,0.000333655
103,1660.54,0.26197,0.11849,0.66454,0.97255,0.98516,0.98773,0.9274,0.2129,0.10652,0.65385,0.000320453,0.000320453,0.000320453
104,1676.76,0.2349,0.11305,0.66583,0.97644,0.985,0.98959,0.93349,0.20621,0.10559,0.65303,0.000307252,0.000307252,0.000307252
105,1692.92,0.23413,0.11222,0.66401,0.98008,0.98631,0.98686,0.93249,0.2071,0.10473,0.65259,0.00029405,0.00029405,0.00029405
106,1711.19,0.19593,0.09453,0.6492,0.97594,0.99008,0.98538,0.93096,0.20644,0.10816,0.65202,0.000280849,0.000280849,0.000280849
107,1727.08,0.20135,0.09558,0.65881,0.97751,0.98514,0.98567,0.93035,0.21315,0.10815,0.6533,0.000267647,0.000267647,0.000267647
108,1742.7,0.18556,0.08908,0.65438,0.98072,0.98227,0.99025,0.92877,0.21637,0.10714,0.65462,0.000254446,0.000254446,0.000254446
109,1758.28,0.17616,0.08583,0.6501,0.96438,0.97802,0.97734,0.92089,0.20521,0.11258,0.65337,0.000241245,0.000241245,0.000241245
110,1773.92,0.17472,0.08408,0.64949,0.97727,0.98483,0.98753,0.93082,0.21034,0.10364,0.65444,0.000228043,0.000228043,0.000228043
111,1789.51,0.18126,0.08425,0.65243,0.97856,0.98314,0.9853,0.93008,0.20751,0.1054,0.6525,0.000214842,0.000214842,0.000214842
112,1805.1,0.18136,0.08418,0.65237,0.97841,0.98046,0.98457,0.92899,0.20172,0.10357,0.6518,0.00020164,0.00020164,0.00020164
113,1820.7,0.19037,0.08936,0.64725,0.97728,0.98559,0.98692,0.92817,0.20978,0.10259,0.65288,0.000188439,0.000188439,0.000188439
114,1836.17,0.16056,0.08,0.6452,0.97706,0.98392,0.98531,0.93205,0.20577,0.1051,0.65222,0.000175237,0.000175237,0.000175237
115,1851.74,0.16187,0.07802,0.65289,0.97891,0.97893,0.9845,0.9286,0.20077,0.10353,0.65157,0.000162036,0.000162036,0.000162036
116,1867.27,0.16248,0.07768,0.65118,0.97506,0.98303,0.98268,0.92997,0.19605,0.10482,0.65151,0.000148834,0.000148834,0.000148834
117,1882.82,0.17756,0.08156,0.65007,0.97453,0.9833,0.98257,0.92931,0.19923,0.10335,0.65115,0.000135633,0.000135633,0.000135633
118,1898.4,0.17158,0.07858,0.65292,0.97895,0.97972,0.98401,0.92798,0.2032,0.10295,0.6521,0.000122432,0.000122432,0.000122432
119,1913.91,0.16295,0.07827,0.64921,0.97686,0.9812,0.98494,0.93085,0.19877,0.10061,0.65125,0.00010923,0.00010923,0.00010923
120,1929.62,0.16522,0.07675,0.64816,0.97982,0.98166,0.98451,0.9301,0.20457,0.10137,0.65296,9.60287e-05,9.60287e-05,9.60287e-05
121,1945.15,0.17725,0.08088,0.64866,0.98037,0.97814,0.98586,0.92983,0.20525,0.10006,0.65231,8.28272e-05,8.28272e-05,8.28272e-05
122,1960.74,0.16577,0.07734,0.64876,0.97926,0.97885,0.98473,0.92573,0.20881,0.10116,0.6534,6.96258e-05,6.96258e-05,6.96258e-05
123,1976.24,0.15627,0.07236,0.64614,0.9781,0.98139,0.98385,0.92627,0.20756,0.10227,0.65296,5.64243e-05,5.64243e-05,5.64243e-05
124,1991.74,0.16134,0.0735,0.6483,0.97585,0.98289,0.98261,0.92601,0.21011,0.10211,0.65326,4.32229e-05,4.32229e-05,4.32229e-05
