epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1429.28,0.19255,0.13907,0.77942,0.96758,0.96754,0.98481,0.9146,0.2638,0.17797,0.79863,0.00031673,0.00031673,0.00031673
92,1444.58,0.17716,0.13161,0.77909,0.97438,0.96942,0.98573,0.91893,0.27073,0.18098,0.79938,0.000301727,0.000301727,0.000301727
93,1459.96,0.18219,0.13162,0.77677,0.97115,0.96054,0.9827,0.91418,0.26685,0.18439,0.79795,0.000286724,0.000286724,0.000286724
94,1475.27,0.17447,0.13003,0.77522,0.97055,0.9606,0.98327,0.9163,0.26703,0.17781,0.79791,0.000271721,0.000271721,0.000271721
95,1490.61,0.17597,0.13062,0.78368,0.97144,0.95948,0.98354,0.91297,0.26757,0.17889,0.79776,0.000256718,0.000256718,0.000256718
96,1505.99,0.17783,0.12909,0.77535,0.97135,0.9619,0.9846,0.91636,0.26689,0.17908,0.79897,0.000241715,0.000241715,0.000241715
97,1521.27,0.16835,0.12627,0.77631,0.97496,0.96856,0.9841,0.91447,0.27063,0.16925,0.80036,0.000226712,0.000226712,0.000226712
98,1536.55,0.16771,0.12176,0.7766,0.97117,0.97509,0.98587,0.91836,0.26426,0.16637,0.79894,0.000211709,0.000211709,0.000211709
99,1551.88,0.17255,0.12497,0.78166,0.96651,0.97051,0.98506,0.91581,0.26682,0.17101,0.80035,0.000196706,0.000196706,0.000196706
100,1567.21,0.16112,0.11642,0.77547,0.96641,0.96875,0.98532,0.91583,0.26686,0.17259,0.79935,0.000181703,0.000181703,0.000181703
101,1582.51,0.16538,0.11576,0.78448,0.96636,0.96846,0.98714,0.92027,0.25986,0.16613,0.79881,0.0001667,0.0001667,0.0001667
102,1597.8,0.15182,0.11219,0.77652,0.95929,0.9736,0.98595,0.9195,0.26147,0.16711,0.79816,0.000151697,0.000151697,0.000151697
103,1613.09,0.16078,0.11374,0.7772,0.96947,0.9666,0.98557,0.91822,0.25746,0.16613,0.79739,0.000136694,0.000136694,0.000136694
104,1628.4,0.16335,0.1135,0.77659,0.97031,0.96783,0.9856,0.91584,0.26421,0.16926,0.79841,0.000121691,0.000121691,0.000121691
105,1643.76,0.17146,0.11911,0.77636,0.96562,0.97372,0.98585,0.91787,0.2632,0.16865,0.79779,0.000106688,0.000106688,0.000106688
106,1659.13,0.16892,0.11817,0.77715,0.97132,0.96793,0.9857,0.91882,0.25909,0.16734,0.79747,9.1685e-05,9.1685e-05,9.1685e-05
107,1674.44,0.15684,0.11133,0.77192,0.97154,0.96602,0.98483,0.91895,0.25774,0.16677,0.79778,7.6682e-05,7.6682e-05,7.6682e-05
108,1689.83,0.16451,0.11265,0.77763,0.96644,0.9732,0.98497,0.91759,0.25854,0.16435,0.79766,6.1679e-05,6.1679e-05,6.1679e-05
109,1705.21,0.16945,0.11511,0.77598,0.97439,0.9601,0.98448,0.91788,0.25707,0.16579,0.79729,4.6676e-05,4.6676e-05,4.6676e-05
110,1720.56,0.1687,0.11182,0.77688,0.97293,0.9597,0.9835,0.91756,0.25637,0.16567,0.79706,3.1673e-05,3.1673e-05,3.1673e-05
