epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1472.96,0.17688,0.12753,0.78194,0.97447,0.9836,0.98281,0.92628,0.28609,0.2219,0.80321,0.000208941,0.000208941,0.000208941
93,1488.51,0.17674,0.12601,0.78153,0.97251,0.98457,0.9869,0.92786,0.28619,0.22123,0.80453,0.000192919,0.000192919,0.000192919
94,1504.16,0.17813,0.12898,0.77876,0.9708,0.98106,0.98635,0.92436,0.28833,0.22024,0.80717,0.000176896,0.000176896,0.000176896
95,1519.71,0.17185,0.12172,0.77553,0.97157,0.9842,0.98397,0.92545,0.27762,0.21456,0.80332,0.000160874,0.000160874,0.000160874
96,1535.31,0.18334,0.12742,0.78294,0.97168,0.98603,0.98309,0.9246,0.28231,0.21722,0.80592,0.000144851,0.000144851,0.000144851
97,1550.88,0.16238,0.11904,0.77952,0.97296,0.9856,0.98478,0.92554,0.28198,0.21394,0.80391,0.000128828,0.000128828,0.000128828
98,1566.46,0.17026,0.11895,0.78069,0.96976,0.99022,0.9853,0.92763,0.27817,0.21231,0.80389,0.000112806,0.000112806,0.000112806
99,1582.02,0.17177,0.12172,0.78111,0.96918,0.98747,0.98413,0.9236,0.28548,0.21757,0.80496,9.67831e-05,9.67831e-05,9.67831e-05
100,1597.59,0.16924,0.11802,0.77483,0.97193,0.98341,0.98501,0.92404,0.28114,0.2137,0.80526,8.07605e-05,8.07605e-05,8.07605e-05
101,1613.21,0.17128,0.119,0.77243,0.9756,0.98101,0.98588,0.92492,0.27771,0.21054,0.80331,6.47379e-05,6.47379e-05,6.47379e-05
102,1628.76,0.16316,0.11353,0.77506,0.97629,0.9813,0.98615,0.92412,0.28093,0.21341,0.8033,4.87152e-05,4.87152e-05,4.87152e-05
103,1644.29,0.16382,0.1152,0.77977,0.97352,0.98401,0.98628,0.92887,0.27547,0.20706,0.80201,3.26926e-05,3.26926e-05,3.26926e-05
